name,prediction
Abdulla Hassan Saif,Stub
Ali bin Saleh Al Saleh,Stub
Ahmed Al-Salloum,Start
Salman bin Hamad Al Khalifa,C
Abdul Motaleb,Stub
Abdus Salam (Chattogram politician),Stub
Abul Hashim,C
Oli Ahad,Start
Chowdhury Shamsuddin Ahmed,Stub
Farid Ahmed,Stub
Muzaffar Ahmed (NAP politician),Start
AKM Hafizuddin,Stub
Mohammad Manjur Alam,Start
M Hossain Ali,Start
Aminul Islam Rabel,Stub
Mohammad A. Arafat,GA
Ashab Uddin Ahmad,B
Shafiqur Rahman Badsha,Stub
Selina Banu,Start
Nurul Huq Bhuiyan,Stub
Birendra Kishore Roaza,Stub
Bishnu Chattopadhyay,Start
AKM Fazlul Kabir Chowdhury,Start
Aminul Islam Chowdhury,Start
Anwarul Karim Chowdhury,C
Moinuddin Ahmed Chowdhury,C
Sarwar Jan Chowdhury,Stub
Shahinur Pasha Chowdhury,Start
Yusuf Ali Chowdhury,Start
Haji Mohammad Danesh,C
Pulin De,Start
James Leo Ferguson,C
Abdul Halim Ghaznavi,Start
Debendra Nath Ghosh,Stub
Ranesh Das Gupta,Start
AKM Fazlul Haque (Jatiya Party politician),Stub
Syed Najmuddin Hashim,Start
M. Anwar Hossain,C
Nozir Hossain,Start
Husam Uddin Chowdhury Fultali,Start
Syed Muhammad Ibrahim,Start
Abul Kashem,C
Abul Kashem Khan,C
Hatem Ali Khan,Start
Muhammad Hamidullah Khan,C
Yar Mohammad Khan,C
Kazi Abdus Shahid Lal,Start
Jyotirindra Bodhipriya Larma,Stub
Shamima Harun Lubna,Stub
Manik Lal Ray,Stub
Manjurul Imam,Stub
Mushrefa Mishu,Start
Moin Uddin (politician),Stub
Fazlul Haque Montu,Stub
Mujahidul Islam Selim,Start
Mujibur Rahman (Chattogram politician),Stub
Shafiul Alam Chowdhury Nadel,Start
SM Nuruzzaman,Stub
Shamsul Huda Panchbagi,B
Muhammad Bayazeed Khan Panni,C
Ferdous Ahmed Qureshi,Start
Asheq Ullah Rafiq,Stub
Abdur Rahim (scholar),C
Habibar Rahman,Stub
M. M. Rahmatullah,C
Golam Maula Rony,Start
Devasish Roy,Start
Mahmudul Haque Sayem,Stub
Maulana Shakhawat,Stub
Abul Kalam Shamsuddin,Start
Badruddoza Ahmed Shuja,Stub
Sourendra Nath Chakraborty,Start
Mohammad Sultan,Start
Syed Sayedul Haque Suman,Start
Mohammad Toaha,Start
Badruddin Umar,C
Zahidunnabi Dewan Shamim,Start
Mohammad Zillur Rahman,Start
Elliott Belgrave,Start
Chad Blackman,Start
Santia Bradshaw,Start
Sonia Browne,Stub
Michael A. Carrington,Start
William Fondleroy Duguid,Start
Reginald Farley,Stub
Adrian Forde,Stub
Cynthia Y. Forde,Start
Ian Gooding-Edghill,Stub
Damien K. A. Griffith,Stub
Crystal Haynes,Stub
Philip St. Hill,Stub
Kirk Matthew Humphrey,Stub
Davidson Ishmael,Stub
Colin Everett Jordan,Stub
John Andrew King,Start
Shantal Munro-Knight,Stub
Glyne Murray,Stub
Charles Duncan O'Neal,Start
Samuel Jackman Prescod,C
Shanika Roberts-Odle,Stub
Ryan Straughn,Stub
Dwight Sutherland,Stub
Kerrie Symmonds,Start
Yury Ambrazevich,Stub
Aliaksandr Azarau,GA
Lyavon Barshchewski,Stub
Siarhei Cherachen,Start
Zmitser Dashkevich,Start
Siamion Domash,Stub
Tsimafei Dranchuk,Start
Alaksandar Dubko,Stub
Gennady Grushevoy,C
Moshe Gutman,Stub
Uładzimir Hančaryk,Stub
Tamaš Hryb,C
Anatoĺ Kalinin,Start
Voĺha Karač,C
Uładzisłau Kazłouski,Start
Tadeusz Kościuszko,FA
Ivan Kubrakov,Start
Vladimir Kumets,C
Valery Levaneuski,C
Uladzimir Mackievič,C
V. L. Mukha,Stub
Jan Pazniak,Stub
Aleksandr Potupa,C
Pyotr Prakapovich,Stub
Alexander Radkov,Start
Symon Rak-Michajłoŭski,GA
Vladimir Rusakevich,Start
Ihar Rynkevich,C
Valery Sakhashchyk,B
Dominik Semashko,GA
Aliaksandr Shakutsin,C
Nikolai Shelyagovich,Start
Jan Stankievič,Start
Mikola Statkevich,GA
Sergei Tikhanovsky,C
Aleksandr Turchin,Stub
Yury Voskresensky,C
Edward Woyniłłowicz,B
Ivan Yermachenka,Start
Manuel Abramowicz,Stub
Rudy Aernoudt,C
Herman Baltia,Start
Jan Béghin,Start
Frank Beke,Stub
Gustave Boël,Start
Pol Clovis Boël,Start
Antoine Brun,Start
Fernand Cocq,Stub
Émile Coulonvaux,Stub
Auguste Couvreur,Stub
Nico Cué,Start
Pierre David (mayor),GA
Marcel de Baer,C
August De Boodt,Start
Norbert De Cuyper,Start
Dirk De fauw,Start
René De Feyter,Stub
François-Philippe de Haussy,Stub
Victor de Laveleye,Start
Édouard Descamps,Start
José Desmarets,Stub
Émile van Dievoet,C
Marc Drumaux,Start
Jos Dupré,Stub
Françoise Dupuis,Stub
Veerle Geerinckx,Start
Eugène Goblet d'Alviella,Start
Julien Goekint,Start
Jean-Pierre Grafé,Stub
Jacques Grippa,Stub
Guy Hance,Stub
Joris Helleputte,Start
Lucienne Herman-Michielsens,Start
Jules Hiernaux,Stub
Julius Hoste Jr.,Start
Norbert Hougardy,Stub
Joseph Houssa,Stub
Vincent Houssiau,Start
Pierre Van Humbeeck,Stub
Dorah Ilunga,Start
Pierre Imperiali,Stub
Jean-François Istasse,Stub
Milou Jeunehomme,Stub
Georges Kaeckenbeeck,Start
André Kempinaire,Stub
Ahmet Koç (politician),Start
Willy Kuijpers,Stub
Rachid Madrane,Start
Luc Michel,C
Fientje Moerman,Start
André Molitor,Start
Jean Pede,Start
Pierre Emmanuel Félix Chazal,C
Jean-Marie Piret,Start
André-Eugène Pirson,Start
Marjet Van Puymbroeck,Stub
Jean Richardot the Younger,Start
Gustave Rolin-Jaequemyns,C
Hippolyte Rolin,Stub
Father Samuel,C
Louis-Joseph Seutin,Start
Alfons Siffer,Start
Cyrille Tahay,Stub
Jacques Timmermans,Stub
Robert Urbain,Stub
Adolphe Van Glabbeke,Start
Gaëtan Van Goidsenhoven,C
Jacques Van Gompel,Start
Marcel Van Langenhove (referee),Stub
Johan Verbeke,Start
Yvan Verougstraete,Start
Lodewijk Verreycken,Start
Louis Waltniel,Stub
Yves de Wasseige,Start
Roger Windels,Start
Jacques van Ypersele de Strihou,C
Nemencio Acosta,Stub
Basilio Ah,Stub
Beverly Castillo,Stub
Charles Bartlett Hyde,Start
Glenn Godfrey,Start
Alexander Albert Hunter,Start
Elfreda Reyes,C
Bert Tucker,C
Woldrich Harrison Courtenay,Stub
Arnauld Antoine Akodjènou,C
Jules-Armand Aniambossou,Start
Francis Covi,Stub
Sefou Fagbohoun,Stub
Louis Hunkanrin,C
Louis Ignacio-Pinto,Stub
Arouna Mama,Start
D. N. Dhungyel,Stub
Dorjee Wangmo,Stub
Ugyen Dorji (DNT politician),Start
Zangley Dukpa,Stub
Dupthob,Stub
Choki Gyeltshen,Stub
Sherub Gyeltshen,Start
Choida Jamtsho,Start
Rinzin Jamtsho,Stub
Shingkhar Lam,Start
Tshewang Lhamo,Start
Kuenga Loday,Stub
Dorji Namgyal,Stub
Jigme Namgyal (Bhutan),C
Kunzang C. Namgyel,Start
Wangdi Norbu,Stub
Pema Chewang,Start
Pema Gyamtsho,Start
Kinga Penjor,Stub
Yeshey Penjor,Start
Thakur S. Powdyel,C
Jai Bir Rai,Start
Karma Rangdol,Stub
Chogyal Dago Rigdzin,Stub
Loknath Sharma,Start
Tenzin (politician),Stub
Sonam Tobgye,Start
Dorji Tshering,Start
Kinga Tshering,Start
Namgay Tshering,Start
Ugyen Tshering,Stub
Jigme Wangchuk,Stub
Lhatu Wangchuk,Stub
Khandu Wangchuk,Start
Norbu Wangchuk,Stub
Tshering Wangchuk,Start
Karma Donnen Wangdi,Start
Tshencho Wangdi,Start
Ugyen Wangdi,Stub
Dechen Wangmo (politician),Start
Dechen Zangmo,Stub
Neten Zangmo,Start
Nidup Zangpo,Stub
Yeshey Zimba,Start
Botche Candé,Stub
Juliano Fernandes,Stub
Teodora Inácia Gomes,C
Desejado Lima da Costa,Stub
Aristide Menezes,Stub
Florentino Mendes Pereira,Stub
Carmelita Pires,Start
Agnelo Regalla,Start
Nataniel Aguirre,C
Francisco Argandoña,Start
Atanasio de Urioste Velasco,GA
Isaac Ávalos,Stub
Augusto Céspedes,Start
Adolfo Chávez,Stub
Chi Hyun Chung,C
Pantaleón Dalence,C
Rafael Peña,Start
Marcelo Elío,Stub
Marcial Fabricano,Start
Fernando Eloy Guachalla,Stub
Toribia Lero Quispe,Stub
Antonio Machaca,Stub
Adolfo Mendoza,Stub
Manuel de Molina Zamudio,C
Pedro Domingo Murillo,Start
Francisco Burdett O'Connor,GA
Manuel Luis de Oliden,Stub
Simón Iturri Patiño,C
Bonifacio Pinedo,B
Julio Pinedo,Start
Gary Prado Salmón,Start
José Mariano Serrano,Stub
Moisés Torres (politician),Start
Fernando Vargas Mosua,Start
Jaime de Zudáñez,Start
Kemal Ademović,Stub
Mehmed Alajbegović,C
Boško Baškot,Stub
Salko Bukvarević,Start
Sabina Ćudić,Start
Dženan Đonlagić,Start
Edin Forto,C
Dževad Galijašević,C
Josip Grubeša,Start
Ankica Gudeljević,Start
Hakija Hadžić,Start
Mirsad Hadžikadić,Start
